"id_commune","id_service","competence","id_service_gn"
"56208","3000894","0","3000894"
"56209","3000900","0","3000900"
"56210","3000905","0","3000905"
"56211","3000893","0","3000893"
"56212","3018166","0","3018166"
"56213","3000900","0","3000900"
"56214","3000868","0","3000868"
"56215","3000900","0","3000900"
"56216","3000860","0","3000860"
"56218","3000867","0","3000867"
"56219","3000893","0","3000893"
"56220","3000885","0","3000885"
"56221","3000860","0","3000860"
"56222","3000896","0","3000896"
"56223","3000860","0","3000860"
"56224","3000893","0","3000893"
"56225","3000894","0","3000894"
"56226","3000890","0","3000890"
"56227","3000889","0","3000889"
"56228","3000893","0","3000893"
"56229","3000862","0","3000862"
"56230","3000893","0","3000893"
"56231","3000861","0","3000861"
"56232","3000860","0","3000860"
"56233","3000876","0","3000876"
"56234","3000886","0","3000886"
"56236","3000892","0","3000892"
"56237","3000900","0","3000900"
"56238","3000905","0","3000905"
"56239","3000860","0","3000860"
"56240","3000868","0","3000868"
"56241","3000874","0","3000874"
"56242","3000900","0","3000900"
"56243","3010049","0","3010049"
"56244","3000893","0","3000893"
"56245","3000900","0","3000900"
"56246","3000900","0","3000900"
"56247","3000861","0","3000861"
"56248","3010049","0","3010049"
"56249","3000889","0","3000889"
"56250","3018166","0","3018166"
"56251","3010049","0","3010049"
"56252","3000868","0","3000868"
"56253","3000862","0","3000862"
"56254","3000861","0","3000861"
"56255","3000861","0","3000861"
"56256","3000894","0","3000894"
"56257","3000889","0","3000889"
"56258","3000876","0","3000876"
"56259","3010049","0","3010049"
"56260","69161","1","3000859"
"56261","3000861","0","3000861"
"56262","3000873","0","3000873"
"56263","3000873","0","3000873"
"56264","3000905","0","3000905"
"57001","3003272","0","3003272"
"57002","3003222","0","3003222"
"57003","3003248","0","3003248"
"57004","3003222","0","3003222"
"57006","3003258","0","3003258"
"57007","3003218","0","3003218"
"57008","3003218","0","3003218"
"57009","3003224","0","3003224"
"57010","3003224","0","3003224"
"57011","3003223","0","3003223"
"57012","70393","1","3000501"
"57013","3003231","0","3003231"
"57014","3003234","0","3003234"
"57015","3029187","0","3029187"
"57016","3003216","0","3003216"
"57017","3003202","0","3003202"
"57018","3003222","0","3003222"
"57019","70494","1","3003202"
"57020","3003208","0","3003208"
"57021","3003203","0","3003203"
"57022","3003268","0","3003268"
"57024","3080252","0","3080252"
"57025","3003216","0","3003216"
"57026","3058025","0","3058025"
"57027","3003218","0","3003218"
"57028","3080252","0","3080252"
"57029","3003218","0","3003218"
"57030","3003203","0","3003203"
"57031","3003204","0","3003204"
"57032","3003203","0","3003203"
"57033","3003246","0","3003246"
"57034","3003248","0","3003248"
"57035","3003225","0","3003225"
"57036","3003222","0","3003222"
"57037","3003208","0","3003208"
"57038","3007172","0","3007172"
"57039","3003203","0","3003203"
"57040","3003224","0","3003224"
"57041","3003266","0","3003266"
"57042","3003249","0","3003249"
"57043","3080252","0","3080252"
"57044","3003249","0","3003249"
"57045","3003224","0","3003224"
"57046","3003257","0","3003257"
"57047","3003218","0","3003218"
"57048","3003215","0","3003215"
"57049","70371","1","3003204"
"57050","3003245","0","3003245"
"57051","3003237","0","3003237"
"57052","3003232","0","3003232"
"57053","3003225","0","3003225"
"57054","3003224","0","3003224"
"57055","3003208","0","3003208"
"57056","3003245","0","3003245"
"57057","3003208","0","3003208"
"57058","3003231","0","3003231"
"57059","3003222","0","3003222"
"57060","3003223","0","3003223"
"57061","3003232","0","3003232"
"57062","3058025","0","3058025"
"57063","3003237","0","3003237"
"57064","3003250","0","3003250"
"57065","3003223","0","3003223"
"57066","3003247","0","3003247"
"57067","3003269","0","3003269"
"57069","3003217","0","3003217"
"57070","3003215","0","3003215"
"57071","3003247","0","3003247"
"57072","3003269","0","3003269"
"57073","3003232","0","3003232"
"57074","3003258","0","3003258"
"57075","3003208","0","3003208"
"57076","3000501","0","3000501"
