"commune_code_insee","unite_cu"
"02006","451"
"02007","407"
"02008","443"
"02009","433"
"02010","443"
"02011","444"
"02012","442"
"02013","415"
"02014","406"
"02015","445"
"02016","410"
"02017","410"
"02018","405"
"02019","435"
"02020","452"
"02021","413"
"02022","442"
"02023","442"
"02024","407"
"02025","435"
"02027","409"
"02028","10200898"
"02029","436"
"02030","431"
"02031","452"
"02032","435"
"02033","407"
"02034","408"
"02035","451"
"02036","441"
"02037","404"
"02038","413"
"02039","412"
"02040","448"
"02041","406"
"02042","419"
"02043","444"
"02044","448"
"02046","409"
"02047","409"
"02048","409"
"02049","408"
"02050","453"
"02051","421"
"02052","405"
"02053","421"
"02054","441"
"02055","452"
"02056","406"
"02057","431"
"02058","407"
"02059","10200897"
"02060","436"
"02061","430"
"02062","419"
"02063","431"
"02064","10200905"
"02065","431"
"02066","433"
"02067","453"
"02068","454"
"02069","413"
"02070","451"
"02071","444"
"02072","407"
"02073","27450"
"02074","410"
"02075","433"
"02076","27450"
"02078","408"
"02079","452"
"02080","404"
"02081","406"
"02082","442"
"02083","422"
"02084","420"
"02085","419"
"02086","406"
"02087","444"
"02088","404"
"02089","440"
"02090","442"
"02091","441"
"02093","408"
"02094","419"
"02095","430"
"02096","409"
"02097","415"
"02098","419"
"02099","442"
"02100","431"
"02101","412"
"02102","407"
"02103","453"
"02104","27450"
"02105","419"
"02106","407"
"02107","408"
"02108","405"
"02109","448"
"02110","441"
"02111","405"
"02112","430"
"02114","419"
"02115","407"
"02116","448"
"02117","435"
"02118","440"
"02119","422"
"02120","441"
"02121","442"
"02122","410"
"02123","433"
"02124","433"
"02125","423"
"02126","413"
"02127","422"
"02128","404"
"02129","441"
"02130","452"
"02131","440"
"02132","404"
"02133","415"
"02134","452"
"02135","450"
"02136","448"
"02137","423"
"02138","442"
"02139","406"
"02140","408"
"02141","450"
"02142","429"
"02143","431"
"02144","436"
"02145","406"
"02146","421"
"02148","443"
"02149","433"
"02150","407"
"02151","404"
"02152","441"
"02153","405"
"02154","442"
"02155","405"
"02156","409"
"02157","10200898"
"02158","407"
"02159","408"
"02160","413"
"02162","420"
"02163","420"
"02164","422"
"02165","10200897"
"02166","421"
"02167","441"
"02168","10200899"
"02169","412"
"02170","433"
"02171","27450"
"02172","445"
"02173","406"
"02174","443"
"02175","440"
"02176","443"
"02177","404"
"02178","407"
"02179","441"
"02180","409"
"02181","413"
"02182","454"
"02183","405"
"02184","434"
"02185","423"
"02186","420"
"02187","419"
"02188","450"
"02189","415"
"02190","443"
"02191","404"
"02192","423"
"02193","422"
"02194","412"
"02195","441"
"02196","404"
"02197","450"
"02198","440"
"02199","435"
"02200","413"
"02201","444"
"02203","422"
"02204","452"
"02205","407"
"02206","454"
"02207","406"
"02208","27450"
"02209","421"
"02210","443"
"02211","27450"
"02212","10200897"
"02213","421"
"02214","429"
"02215","407"
"02216","445"
"02217","408"
"02218","415"
"02219","408"
"02220","422"
"02221","420"
"02222","410"
"02223","421"
"02224","441"
"02225","423"
"02226","440"
"02227","422"
"02228","421"
"02229","415"
"02230","441"
"02231","404"
"02232","445"
"02233","442"
"02234","407"
"02235","407"
"02236","408"
"02237","409"
"02238","404"
"02239","421"
"02240","432"
"02241","442"
"02242","420"
"02243","10200905"
"02244","450"
"02245","440"
"02246","435"
"02248","412"
"02249","442"
"02250","27450"
"02251","413"
"02252","407"
"02253","444"
"02254","444"
"02255","441"
"02256","413"
"02257","429"
"02258","423"
"02259","445"
"02260","10200897"
"02261","409"
"02262","410"
"02263","441"
"02264","413"
"02265","413"
"02266","413"
"02267","444"
"02268","420"
"02269","453"
"02270","436"
"02271","422"
"02272","442"
"02273","435"
